date,equity,cash,tqqq_value,sqqq_value,tqqq_alloc,sqqq_alloc,cash_alloc,ndx_close,sma20,sma250,ext_sma20,ext_sma250,rsi,regime,active_strategies,strategy_details
2026-01-15,100000.0,80500.0,19500.0,0.0,19.5,0,80.5,25547.07,25465.91,22736.98,0.32,12.36,52.0,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.3%"
2026-01-16,99574.52,80500.0,19074.52,0.0,19.5,0,80.5,25529.26,25510.0,22753.34,0.08,12.2,51.5,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.1%"
2026-01-20,98483.91,86679.13,11804.77,0.0,12.0,0,88.0,24987.57,25508.41,22767.02,-2.04,9.75,39.9,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-2.0%"
2026-01-21,99247.7,65452.67,33795.03,0.0,34.2,0,65.8,25326.58,25507.43,22780.92,-0.71,11.17,47.8,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-01-22,98760.21,79461.13,19299.08,0.0,19.5,0,80.5,25518.35,25510.26,22795.39,0.03,11.95,51.7,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.0%"
2026-01-23,99054.51,79461.13,19593.38,0.0,19.5,0,80.5,25605.47,25511.14,22810.71,0.37,12.25,53.4,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.4%"
2026-01-26,99306.72,79461.13,19845.59,0.0,19.5,0,80.5,25713.21,25513.99,22829.05,0.78,12.63,55.5,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.8%"
2026-01-27,100240.32,92752.87,7487.46,0.0,7.5,0,92.5,25939.74,25528.76,22846.96,1.61,13.54,59.6,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-28,100160.98,92752.87,7408.11,0.0,7.5,0,92.5,26022.79,25553.62,22865.41,1.84,13.81,61.0,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-29,100028.55,92752.87,7275.68,0.0,7.5,0,92.5,25884.3,25574.71,22882.91,1.21,13.12,57.4,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
