date,ticker,action,trade_type,shares,price,value,realized_pnl,equity_after,allocation_after_pct,hold_days,strategy,reasoning,regime,ndx_close,ndx_vs_sma20,ndx_vs_sma250,rsi,execution_timing
2026-01-15,TQQQ,BUY,NEW ENTRY,352.3184,55.35,19500.0,0.0,100000.0,19.5,0,Momentum Long + MR Long 1 (SMA20 Pullback),"Momentum: holding above SMA20, reduced size | MR Long 1: pullback to SMA20, ext=0.3%",STRONG UPTREND,25547.07,+0.3%,+12.4%,52.0,D+1 open (decision 10min before close)
2026-01-20,TQQQ,SELL,REDUCE,121.0539,51.04,6179.13,-520.92,98483.91,12.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: deep pullback below lower BB, ext=-2.0%",STRONG UPTREND,24987.57,-2.0%,+9.8%,39.9,D+1 open (decision 10min before close)
2026-01-21,TQQQ,BUY,ADD,390.5717,54.35,21226.46,0.0,99247.7,34.1,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.7%",STRONG UPTREND,25326.58,-0.7%,+11.2%,47.8,D+1 open (decision 10min before close)
2026-01-22,TQQQ,SELL,REDUCE,261.5314,53.56,14008.46,-302.34,98760.21,19.5,0,Momentum Long + MR Long 1 (SMA20 Pullback),"Momentum: holding above SMA20, reduced size | MR Long 1: pullback to SMA20, ext=0.0%",STRONG UPTREND,25518.35,+0.0%,+11.9%,51.7,D+1 open (decision 10min before close)
2026-01-27,TQQQ,SELL,REDUCE,230.4746,57.67,13291.74,680.34,100240.32,7.5,0,Momentum Long,"Momentum: holding above SMA20, reduced size",STRONG UPTREND,25939.74,+1.6%,+13.5%,59.6,D+1 open (decision 10min before close)
2026-01-30,TQQQ,BUY,ADD,300.2748,53.19,15970.59,0.0,99658.09,23.0,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.1%",STRONG UPTREND,25552.39,-0.1%,+11.6%,49.8,D+1 open (decision 10min before close)
2026-02-03,TQQQ,SELL,REDUCE,277.5602,52.11,14464.75,-426.14,99196.74,8.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.1%",STRONG UPTREND,25338.62,-1.1%,+10.5%,45.7,D+1 open (decision 10min before close)
2026-02-05,TQQQ,BUY,ADD,157.6791,48.36,7626.02,0.0,98624.73,15.2,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: deep pullback below lower BB, ext=-3.8%",STRONG UPTREND,24548.69,-3.8%,+6.9%,34.6,D+1 open (decision 10min before close)
2026-02-06,TQQQ,SELL,REDUCE,151.4306,50.03,7576.83,-140.53,99143.05,8.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.7%",STRONG UPTREND,25075.77,-1.7%,+9.2%,44.7,D+1 open (decision 10min before close)
2026-02-09,TQQQ,BUY,ADD,532.9507,52.0,27711.3,0.0,99454.45,36.2,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.8%",STRONG UPTREND,25268.14,-0.8%,+9.9%,47.8,D+1 open (decision 10min before close)
2026-02-10,TQQQ,SELL,REDUCE,540.3114,52.18,28195.55,229.66,99584.43,7.9,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.2%",STRONG UPTREND,25127.64,-1.2%,+9.3%,45.8,D+1 open (decision 10min before close)
2026-02-11,TQQQ,BUY,ADD,553.8837,51.83,28705.52,0.0,99530.22,36.7,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.8%",STRONG UPTREND,25201.26,-0.8%,+9.5%,47.0,D+1 open (decision 10min before close)
2026-02-12,TQQQ,SELL,REDUCE,544.0476,48.13,26182.79,-2005.13,96920.57,8.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-2.7%",STRONG UPTREND,24687.61,-2.7%,+7.2%,39.9,D+1 open (decision 10min before close)
2026-02-20,TQQQ,BUY,ADD,580.0208,49.55,28742.79,0.0,97151.0,37.8,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.9%",STRONG UPTREND,25012.62,-0.9%,+8.4%,47.0,D+1 open (decision 10min before close)
2026-02-23,TQQQ,SELL,REDUCE,582.405,48.43,28203.41,-943.46,96314.09,8.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.9%",STRONG UPTREND,24708.94,-1.9%,+7.0%,42.2,D+1 open (decision 10min before close)
2026-02-24,TQQQ,BUY,ADD,493.2927,50.58,24948.41,0.0,96655.61,34.1,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.7%",STRONG UPTREND,24977.04,-0.7%,+8.1%,47.3,D+1 open (decision 10min before close)
2026-02-25,TQQQ,SELL,REDUCE,283.7479,51.6,14642.58,328.56,97326.65,19.5,0,Momentum Long + MR Long 1 (SMA20 Pullback),"Momentum: holding above SMA20, reduced size | MR Long 1: pullback to SMA20, ext=0.8%",STRONG UPTREND,25329.04,+0.8%,+9.5%,53.2,D+1 open (decision 10min before close)
2026-02-27,TQQQ,BUY,ADD,150.523,47.48,7147.4,0.0,95808.55,25.7,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.3%",STRONG UPTREND,24960.04,-0.3%,+7.8%,47.2,D+1 open (decision 10min before close)
2026-03-02,TQQQ,SELL,REDUCE,90.3883,46.79,4228.96,-253.12,95446.77,21.0,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.0%",STRONG UPTREND,24992.6,-0.0%,+7.8%,47.8,D+1 open (decision 10min before close)
2026-03-03,TQQQ,BUY,ADD,329.2355,48.71,16038.49,0.0,96272.93,38.3,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.9%",STRONG UPTREND,24720.08,-0.9%,+6.6%,43.4,D+1 open (decision 10min before close)
2026-03-04,TQQQ,SELL,REDUCE,373.2702,49.42,18445.25,77.43,96804.1,19.6,0,Momentum Long + MR Long 1 (SMA20 Pullback),"Momentum: holding above SMA20, reduced size | MR Long 1: pullback to SMA20, ext=0.6%",STRONG UPTREND,25093.68,+0.6%,+8.1%,50.1,D+1 open (decision 10min before close)
2026-03-06,TQQQ,SELL,REDUCE,218.0326,46.17,10065.89,-663.03,95555.0,8.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.2%",STRONG UPTREND,24643.02,-1.2%,+6.0%,43.0,D+1 open (decision 10min before close)
2026-03-09,TQQQ,BUY,ADD,212.5461,49.43,10507.15,0.0,96099.08,19.5,0,Momentum Long + MR Long 1 (SMA20 Pullback) + MR Long 2 (Deep Pullback) (EXIT),"Momentum: holding above SMA20, reduced size | MR Long 1: pullback to SMA20, ext=0.1% | MR Long 2: recovered above middle BB, exit",STRONG UPTREND,24967.25,+0.1%,+7.3%,48.7,D+1 open (decision 10min before close)
2026-03-12,TQQQ,SELL,REDUCE,218.2667,47.33,10329.76,-438.44,95299.92,8.0,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.4%",STRONG UPTREND,24533.58,-1.4%,+5.1%,41.8,D+1 open (decision 10min before close)
2026-03-16,TQQQ,BUY,ADD,572.9824,48.14,27585.7,0.0,95431.39,37.0,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.9%",STRONG UPTREND,24655.34,-0.9%,+5.5%,45.1,D+1 open (decision 10min before close)
2026-03-17,TQQQ,SELL,REDUCE,187.2676,47.7,8931.94,-132.75,95102.73,27.4,0,Momentum Long (EXIT) + MR Long 1 (SMA20 Pullback),"Momentum: closed below SMA20 | MR Long 1: pullback to SMA20, ext=-0.4%",STRONG UPTREND,24780.42,-0.4%,+5.9%,47.4,D+1 open (decision 10min before close)
2026-03-18,TQQQ,SELL,REDUCE,378.4007,44.85,16970.35,-1346.14,93546.0,8.1,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback),"Momentum: closed below SMA20 | MR Long 2: recovering below middle BB, ext=-1.7%",UPTREND,24425.09,-1.7%,+4.3%,42.0,D+1 open (decision 10min before close)
2026-03-20,TQQQ,BUY,ADD,298.7367,43.11,12877.51,0.0,93253.36,21.6,0,Momentum Long (EXIT) + MR Long 2 (Deep Pullback) + MR Long 3 (SMA250 Bounce),"Momentum: closed below SMA20 | MR Long 2: deep pullback below lower BB, ext=-3.5% | MR Long 3: near SMA250 but no reversal candle",UPTREND,23898.15,-3.5%,+1.9%,35.1,D+1 open (decision 10min before close)
